,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_impressions,estimated_impressions,estimated_impressions,estimated_impressions,estimated_impressions,estimated_impressions,estimated_spend,estimated_spend,estimated_spend,estimated_spend,estimated_spend,estimated_spend
,count,mean,min,max,std,median,count,mean,min,max,std,median,count,mean,min,max,std,median
page_id,,,,,,,,,,,,,,,,,,
057391bcf20c60c7541de2b2e940cdaa07d5dd0f53beb349897eff7b79ccc4bb,1,0.0,0,0,,0.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
057bd45dcd72f0ed30a9f774dfbf927fcfa33d6cdf0a599e270f33d78ad8624c,26,714923.6538461539,3000,1000001,388121.23871119885,1000001.0,26,11806.692307692309,499,47499,11975.873181590496,10999.0,26,202.84615384615384,49,549,158.06522509589317,199.0
059d3bba6bff79490eb77dbb92bc8ad3646cbf48d74e4c1fdca0428f322120c3,1,75000.0,75000,75000,,75000.0,1,2499.0,2499,2499,,2499.0,1,49.0,49,49,,49.0
05a8295261e30e276728e94430353f08e88521128a1a5e1fee42d43d9b7207dd,1,0.0,0,0,,0.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
05dccecd5fc4fc971b8cea3e2e69d287519622a2a696a651d0eaa29302c2ac90,16,91875.0,30000,300000,105053.55776935877,30000.0,16,82405.25,3499,374999,110211.04281483473,39999.0,16,1424.0,49,6499,2073.4029999013696,599.0
05ec7726c6494a9d6681d969ec41a73ec56bbc02121b3fbac2716756695c3469,1,3000.0,3000,3000,,3000.0,1,1499.0,1499,1499,,1499.0,1,49.0,49,49,,49.0
060b3441575f903fc96c5d57e22b88f6342bc4e8de9a71929608d4c1d793cdaa,8,30000.0,30000,30000,0.0,30000.0,8,13124.0,2499,42499,14461.154863979571,6999.0,8,449.0,49,1749,570.7138387268051,249.0
06237cab4fd84fe57fe10ff841cf40733c8f43a3f54b8d2f700af15644aaf949,1,750000.0,750000,750000,,750000.0,1,374999.0,374999,374999,,374999.0,1,2749.0,2749,2749,,2749.0
062a73845194a53a226450fa498e9a48ff6683ee1f559058a1ccd4d70707581f,118,923856.8305084746,30000,1000001,240910.60677441227,1000001.0,118,46982.06779661017,499,1000000,132989.30868189246,7499.0,118,546.457627118644,49,22499,2206.990132942859,149.0
0630aa28c808fb6addbc8ee41a39a8130ac3de5baa898fcc3de346b6e19b756d,6,446666.8333333333,30000,1000001,356744.84999809973,300000.0,6,29082.333333333332,499,112499,46093.835451898194,2499.0,6,482.3333333333333,49,1749,717.4027227901123,49.0
0636d40807f58c0e0caea80e8d500882aa3c2824e59592a76ee7225c3c93de28,1,300000.0,300000,300000,,300000.0,1,2499.0,2499,2499,,2499.0,1,49.0,49,49,,49.0
063a37798de8212248c93c1004440b3ac30e03d83757965db592677323f8d06d,2,650000.5,300000,1000001,494975.45393736445,650000.5,2,1999.0,1499,2499,707.1067811865476,1999.0,2,99.0,49,149,70.71067811865476,99.0
064063f12ecab3c89702c3e7d652b368acba4e585eee57ca87a6b53a5e4117dd,515,466234.16699029127,550,1000001,433980.6893545753,300000.0,515,4325.21359223301,499,187499,15945.139173481133,499.0,515,102.7864077669903,49,2749,232.39623225067163,49.0
0651d604d2ce0b226d41d3845238b0c26d0cc17a13af5ac867fadb4401fdf4d4,285,766800.6947368421,3000,1000001,357993.9114836561,1000001.0,285,27241.105263157893,499,849999,97410.50957588681,2499.0,285,1107.0701754385964,49,37499,3956.400340843921,49.0
0664996b3342049ae45ab51bca6be08af9d9a7123944d165c0dd9fb1dcf08c15,7,235714.2857142857,75000,300000,109788.75820670999,300000.0,7,14927.57142857143,1499,32499,11207.990347026876,12499.0,7,220.42857142857142,49,449,149.6026483086191,249.0
067234e5632b04e00e9c9dcf1878d1af915329ab0e77e89614535a77c90aafdd,1,30000.0,30000,30000,,30000.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
